Commercial.Online.Year,pca,tech,coolingwatertech,ctt,wst,cap
2016,p64,gas-CT,dum,dum,dum,49.8
2016,p65,gas-CT,dum,dum,dum,219.60000000000005
2016,p67,gas-CT,dum,dum,dum,60.0
2016,p70,gas-CT,dum,dum,dum,35.5
2016,p75,hydro,dum,dum,dum,9.2
2016,p76,lfill-gas,dum,dum,dum,1.6
2016,p80,gas-CT,dum,dum,dum,10.100000000000001
2016,p80,lfill-gas,dum,dum,dum,13.8
2016,p81,gas-CT,dum,dum,dum,42.0
2016,p86,gas-CC,dum,dum,dum,32.0
2016,p9,gas-CT,dum,dum,dum,3.6
2016,p9,lfill-gas,dum,dum,dum,9.2
2016,p9,o-g-s,dum,dum,dum,2.7
2016,p9,other,dum,dum,dum,1.0
2016,p92,nuclear,dum,dum,dum,1122.0
2016,p94,lfill-gas,dum,dum,dum,23.100000000000005
2016,p97,other,dum,dum,dum,5.2
2016,p99,gas-CC,dum,dum,dum,1371.1
2016,p99,gas-CT,dum,dum,dum,191.0
2017,p1,hydro,dum,dum,dum,12.0
2017,p10,gas-CT,dum,dum,dum,11.4
2017,p10,o-g-s,dum,dum,dum,3.0
2017,p10,other,dum,dum,dum,25.0
2017,p101,gas-CC,dum,dum,dum,459.0
2017,p101,gas-CT,dum,dum,dum,7.4
2017,p101,lfill-gas,dum,dum,dum,8.4
2017,p103,gas-CC,dum,dum,dum,127.1
2017,p105,lfill-gas,dum,dum,dum,6.4
2017,p108,gas-CC,dum,dum,dum,1100.0
2017,p111,gas-CC,dum,dum,dum,847.6
2017,p111,gas-CT,dum,dum,dum,1.5
2017,p112,gas-CC,dum,dum,dum,682.6
2017,p114,lfill-gas,dum,dum,dum,4.5
2017,p122,gas-CT,dum,dum,dum,47.9
2017,p123,gas-CC,dum,dum,dum,1839.6
2017,p126,gas-CT,dum,dum,dum,7.8
2017,p127,gas-CT,dum,dum,dum,2.6
2017,p127,o-g-s,dum,dum,dum,4.6
2017,p128,o-g-s,dum,dum,dum,1.0
2017,p131,gas-CC,dum,dum,dum,730.0
2017,p131,gas-CT,dum,dum,dum,14.8
2017,p132,o-g-s,dum,dum,dum,3.7
2017,p133,other,dum,dum,dum,3.2
2017,p25,gas-CT,dum,dum,dum,10.0
2017,p34,hydro,dum,dum,dum,2.4
2017,p36,gas-CT,dum,dum,dum,191.59999999999997
2017,p4,hydro,dum,dum,dum,122.0
2017,p41,gas-CT,dum,dum,dum,9.3
2017,p43,gas-CT,dum,dum,dum,139.5
2017,p45,gas-CT,dum,dum,dum,4.3
2017,p51,gas-CC,dum,dum,dum,516.4000000000001
2017,p52,gas-CT,dum,dum,dum,6.0
2017,p53,gas-CT,dum,dum,dum,63.89999999999999
2017,p61,gas-CT,dum,dum,dum,0.5
2017,p63,gas-CC,dum,dum,dum,1069.3
2017,p65,gas-CC,dum,dum,dum,1087.8
2017,p65,gas-CT,dum,dum,dum,272.0
2017,p67,gas-CT,dum,dum,dum,563.0
2017,p70,gas-CC,dum,dum,dum,653.6
2017,p70,gas-CT,dum,dum,dum,2.0
2017,p74,gas-CT,dum,dum,dum,50.099999999999994
2017,p83,gas-CT,dum,dum,dum,1.0
2017,p9,gas-CT,dum,dum,dum,27.600000000000005
2017,p9,hydro,dum,dum,dum,9.0
2017,p9,lfill-gas,dum,dum,dum,4.9
2017,p9,o-g-s,dum,dum,dum,10.4
2017,p93,hydro,dum,dum,dum,75.9
2017,p94,o-g-s,dum,dum,dum,50.0
2017,p95,gas-CC,dum,dum,dum,753.0
2017,p97,lfill-gas,dum,dum,dum,3.3
2017,p98,gas-CT,dum,dum,dum,90.0
2017,p99,gas-CC,dum,dum,dum,774.0
2018,p10,gas-CT,dum,dum,dum,6.3
2018,p10,geothermal,dum,dum,dum,16.0
2018,p10,o-g-s,dum,dum,dum,1.0
2018,p101,gas-CC,dum,dum,dum,3272.2
2018,p101,gas-CT,dum,dum,dum,18.6
2018,p105,gas-CC,dum,dum,dum,703.0
2018,p107,gas-CC,dum,dum,dum,644.0
2018,p11,gas-CT,dum,dum,dum,527.5
2018,p111,gas-CC,dum,dum,dum,850.0
2018,p114,gas-CC,dum,dum,dum,484.0
2018,p115,gas-CC,dum,dum,dum,926.0
2018,p12,geothermal,dum,dum,dum,84.0
2018,p122,gas-CC,dum,dum,dum,3834.2000000000003
2018,p122,gas-CT,dum,dum,dum,15.200000000000001
2018,p123,gas-CC,dum,dum,dum,755.0
2018,p123,gas-CT,dum,dum,dum,27.6
2018,p126,gas-CC,dum,dum,dum,540.0
2018,p126,gas-CT,dum,dum,dum,122.6
2018,p127,gas-CC,dum,dum,dum,705.0999999999999
2018,p127,o-g-s,dum,dum,dum,1.5
2018,p132,gas-CC,dum,dum,dum,745.0
2018,p132,gas-CT,dum,dum,dum,90.0
2018,p132,o-g-s,dum,dum,dum,3.4
2018,p134,o-g-s,dum,dum,dum,23.0
2018,p28,gas-CT,dum,dum,dum,209.4
2018,p31,geothermal,dum,dum,dum,7.0
2018,p4,hydro,dum,dum,dum,122.0
2018,p43,gas-CC,dum,dum,dum,360.0
2018,p43,gas-CT,dum,dum,dum,261.50000000000006
2018,p45,gas-CT,dum,dum,dum,4.0
2018,p50,gas-CT,dum,dum,dum,399.0
2018,p53,gas-CT,dum,dum,dum,6.0
2018,p63,gas-CT,dum,dum,dum,225.60000000000005
2018,p65,other,dum,dum,dum,23.4
2018,p67,gas-CT,dum,dum,dum,103.0
2018,p87,gas-CT,dum,dum,dum,6.2
2018,p9,biopower,dum,dum,dum,30.0
2018,p9,gas-CC,dum,dum,dum,585.9000000000001
2018,p9,hydro,dum,dum,dum,2.7
2018,p9,o-g-s,dum,dum,dum,2.0
2018,p9,other,dum,dum,dum,2.0
2018,p92,gas-CC,dum,dum,dum,2104.2
2018,p97,gas-CC,dum,dum,dum,486.0
2018,p99,gas-CC,dum,dum,dum,1585.0
2018,p99,gas-CT,dum,dum,dum,300.0
2019,p10,gas-CC,dum,dum,dum,29.4
2019,p10,gas-CT,dum,dum,dum,0.8999999999999999
2019,p10,o-g-s,dum,dum,dum,7.8
2019,p101,biopower,dum,dum,dum,12.0
2019,p101,gas-CC,dum,dum,dum,1723.1
2019,p101,gas-CT,dum,dum,dum,74.0
2019,p103,gas-CC,dum,dum,dum,35.0
2019,p103,gas-CT,dum,dum,dum,7.7
2019,p105,gas-CT,dum,dum,dum,11.2
2019,p109,lfill-gas,dum,dum,dum,1.0
2019,p122,gas-CC,dum,dum,dum,955.1
2019,p122,gas-CT,dum,dum,dum,8.8
2019,p127,gas-CT,dum,dum,dum,1.5
2019,p131,gas-CT,dum,dum,dum,539.3
2019,p132,gas-CC,dum,dum,dum,485.0
2019,p132,o-g-s,dum,dum,dum,7.4
2019,p18,hydro,dum,dum,dum,3.4
2019,p28,gas-CT,dum,dum,dum,314.1
2019,p43,gas-CT,dum,dum,dum,19.6
2019,p58,gas-CC,dum,dum,dum,1559.0
2019,p58,other,dum,dum,dum,47.9
2019,p65,gas-CC,dum,dum,dum,232.0
2019,p68,gas-CC,dum,dum,dum,200.0
2019,p74,gas-CT,dum,dum,dum,183.00000000000003
2019,p81,gas-CT,dum,dum,dum,2.8
2019,p87,gas-CT,dum,dum,dum,36.4
2019,p89,biopower,dum,dum,dum,29.4
2019,p90,gas-CT,dum,dum,dum,43.6
2019,p94,biopower,dum,dum,dum,158.5
2019,p96,gas-CT,dum,dum,dum,7.0
2019,p96,nuclear,dum,dum,dum,1100.0
2019,p97,gas-CC,dum,dum,dum,586.4
2019,p98,gas-CT,dum,dum,dum,5.6
2020,p10,gas-CC,dum,dum,dum,1206.0
2020,p10,gas-CT,dum,dum,dum,91.8
2020,p105,gas-CC,dum,dum,dum,0.01
2020,p115,gas-CC,dum,dum,dum,273.0
2020,p122,gas-CC,dum,dum,dum,1858.0
2020,p127,gas-CC,dum,dum,dum,1312.5000000000002
2020,p127,other,dum,dum,dum,19.0
2020,p15,hydro,dum,dum,dum,3.2
2020,p30,gas-CT,dum,dum,dum,181.99999999999997
2020,p4,hydro,dum,dum,dum,122.0
2020,p5,hydro,dum,dum,dum,18.0
2020,p58,gas-CC,dum,dum,dum,1000.0
2020,p63,gas-CT,dum,dum,dum,1035.0
2020,p78,gas-CC,dum,dum,dum,700.0
2020,p96,nuclear,dum,dum,dum,1100.0
2021,p10,lfill-gas,dum,dum,dum,1.6
2021,p111,gas-CC,dum,dum,dum,1060.0
2021,p43,gas-CT,dum,dum,dum,218.0
2022,p103,gas-CC,dum,dum,dum,1146.0
2022,p94,nuclear,dum,dum,dum,1100.0
2023,p94,nuclear,dum,dum,dum,1100.0
